"code","name","city","state","country","x","y"
"BAJ","Bali","Bali",,"PG","149.132","-4.9181"
"OPU","Balimo","Balimo",,"PG","142.907","-8.00826"
"BMZ","Bamu","Bamu",,"PG","143.233","-7.83333"
"BNZ","Banz","Banz",,"PG","144.618","-5.78175"
"BPD","Bapi","Bapi",,"PG","147.213","-1.9576"
"BWJ","Bawan","Bawan",,"PG","146.9","-6.4"
"BSP","Bensbach","Bensbach",,"PG","141.05","-9.05"
"BEA","Bereina","Bereina",,"PG","146.548","-8.62872"
"BWP","Bewani","Bewani",,"PG","141.165","-3.01983"
"BAA","Bialla","Bialla",,"PG","151.033","-5.31667"
"BPK","Biangabip","Biangabip",,"PG","0","0"
"BRP","Biaru","Biaru",,"PG","146.326","-8.50329"
"BIJ","Biliau","Biliau",,"PG","146.35","-5.58333"
"BIZ","Bimin","Bimin",,"PG","142.017","-5.28333"
"XBN","Biniguni","Biniguni",,"PG","149.317","-9.63333"
"BNV","Boana","Boana",,"PG","146.825","-6.43224"
"BOV","Boang","Boang",,"PG","153.329","-3.37132"
"BNM","Bodinumu","Bodinumu",,"PG","147.5","-9.08333"
"BOQ","Boku","Boku",,"PG","155.351","-6.57039"
"BVP","Bolovip","Bolovip",,"PG","141.7","-5.38333"
"BMH","Bomai","Bomai",,"PG","144.633","-6.36667"
"BPB","Boridi","Boridi",,"PG","147.533","-9.13333"
"BOT","Boset","Boset",,"PG","141.1","-7.21667"
"BRH","Brahman","Brahman",,"PG","145.367","-5.7"
"UBI","Buin","Buin",,"PG","155.679","-6.74916"
"BUA","Buka","Buka",,"PG","154.645","-5.23843"
"BUL","Bulolo","Bulolo",,"PG","146.632","-7.20467"
"BNT","Bundi","Bundi",,"PG","145.217","-5.73333"
"BXZ","Bunsil","Bunsil",,"PG","0","0"
"CGC","Cape Gloucester","Cape Gloucester",,"PG","148.417","-5.45"
"CPI","Cape Orford","Cape Orford",,"PG","152.1","-5.45"
"CPN","Cape Rodney","Cape Rodney",,"PG","148.364","-10.1822"
"CVL","Cape Vogel","Cape Vogel",,"PG","150.05","-9.7"
"CVB","Chungribu","Chungribu",,"PG","0","0"
"DAO","Dabo","Dabo",,"PG","0","0"
"DLB","Dalbertis","Dalbertis",,"PG","0","0"
"DAU","Daru","Daru",,"PG","143.21","-9.0782"
"DGG","Daugo","Daugo",,"PG","147.048","-9.51412"
"DAF","Daup","Daup",,"PG","144.95","-4.73333"
